car_parts_name,car_parts_url,car_parts_parts_price
Suzuki Alto VXR 2008 AKD Front Bumper | Black,https://www.pakwheels.com/accessories-spare-parts/suzuki-alto-vxr-2008-akd-front-bumper-black-8456790,"PKR 4,000"
Corolla Altis Grande Genuion Bumpers,https://www.pakwheels.com/accessories-spare-parts/corolla-altis-grande-genuion-bumpers-9929323,"PKR 30,000"
sonata bumper front,https://www.pakwheels.com/accessories-spare-parts/sonata-bumper-front-9908257,PKR 1 lacs
Toyota passo frent bumper 2012,https://www.pakwheels.com/accessories-spare-parts/toyota-passo-frent-bumper-2012-7696418,"PKR 17,000"
Toyota Corolla Altis 2018 front and back white bumpers,https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-altis-2018-front-and-back-white-bumpers-9913683,"PKR 20,000"
Toyota Corolla Altis 2019 model bumpers front and back,https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-altis-2019-model-bumpers-front-and-back-9910605,"PKR 23,000"
sonata bumper front,https://www.pakwheels.com/accessories-spare-parts/sonata-bumper-front-9910201,PKR 1.15 lacs
Toyota yaris ativ facelift bumper,https://www.pakwheels.com/accessories-spare-parts/toyota-yaris-ativ-facelift-bumper-9909238,"PKR 40,000"
Toyota corolla bumper for sale,https://www.pakwheels.com/accessories-spare-parts/toyota-corolla-bumper-for-sale-8743550,"PKR 10,000"
Bmw e60 530i Bumpers,https://www.pakwheels.com/accessories-spare-parts/bmw-e60-530i-bumpers-8025297,PKR 1.5 lacs
